text,sentiment,eof,responsiveness,accuracy,
"এসব তদারকির কোনো দাম নেই, এদেরকে আইনের আওতায় আনতে হবে",negative,n/a,n/a,n/a,
"সেনাবাহিনী অভিযান করলে ভালো হবে, বাদাম দিলেও ঠিক হবে",neutral,n/a,n/a,n/a,
"সবজির বাজার অস্থির, দাম নিয়ন্ত্রণে আপনাদের সহযোগিতা চাই",negative,n/a,n/a,low,
"বাংলাদেশে এখন ক্রেতা থেকে বিক্রেতা বেশি, তাই পণ্যের দামও এত বেশি, ট্রেড লাইসেন্সের ব্যবস্থা করা হোক, তাহলে ব্যবসায়ী কমে যাবে, দাম আগের মতো কমে যাবে",neutral,n/a,n/a,n/a,
"আমাদের দেশ বাংলাদেশে মনে হচ্ছে এই বিক্রেতারা নতুন এসেছে, এরা আসলে এই দেশের নাগরিক কি না সন্দেহ আছে, নাগরিক হলে এবং ব্যবসা করতে হলে কিছু নিয়ম মেনে চলতে হয়, এগুলো রেডিও, টিভিতে ঘোষণা দিয়ে সময় বেঁধে দিন, নির্দিষ্ট সময় পরে কোনো কৈফিয়ত মানা হবে না, সোজা কারাগারে পাঠান, জরিমানা আদায় করা মানে আরও দুর্নীতির সুযোগ করে দেওয়া, কথা কম কাজ করতে বলেন",negative,n/a,n/a,n/a,
"আমাদের দেশের দুর্নীতিবাজ ঠিক হবে না, তাহলে সেনাবাহিনী দিয়ে বাদাম দিলে ঠিক হবে",negative,n/a,n/a,n/a,
"কোথায় কাকে জরিমানা করে বুঝি না, আমরা তো সুফল পাই না",negative,n/a,slow,n/a,
"দোকান এক মাসের জন্য বন্ধ করে দিন, তাহলেই ঠিক হয়ে যাবে",negative,n/a,n/a,n/a,
"জরিমানা করলে হবে না, সঙ্গে জেল দিতে হবে, অন্যথায় এই চক্রকে রোধ করা কঠিন হবে, আপনাদের প্রচেষ্টা ব্যর্থ হবে",negative,n/a,n/a,n/a,
"যেখানে কাজ করা দরকার সেখানে না করে, অকাজ করেন",negative,n/a,n/a,n/a,
"ক্রয় বা বিক্রয় রশিদ না থাকলে, বড় আকারে জরিমানা করেন, তাহলে বাজার স্থিতিশীল হবে",neutral,n/a,n/a,low,
"মেয়াদ ছাড়া পণ্য হলে জরিমানা করে দেবেন, সেটা আইনের বিধানেই আছে",neutral,n/a,n/a,low,
এই ভালোবাসার কথা বাদ দিন,negative,n/a,n/a,n/a,
ধন্যবাদ আপনাকে খুব সুন্দর পরামর্শ দেওয়ার জন্য,positive,n/a,n/a,n/a,
"কেন পঁচিশ টাকা, পেঁয়াজের দাম যেখানে নির্ধারিত ছিল নব্বই থেকে একশ টাকা, সেখানে পঁচিশ টাকা কেন",negative,n/a,n/a,low,
"ভালোবাসা দিলে যেমন ভালোবাসা পাওয়া যায়, পেজে অনুসরণ করলে সাথে সাথে অনুসরণ ফিরত পাওয়া যায়",positive,n/a,n/a,n/a,
"মিরপুর দিয়ে বাড়ি আসেন না কেন, আপনারা এখানেও আসেন",neutral,n/a,n/a,n/a,
কোনো ফলাফল নেই,negative,n/a,slow,n/a,
চালিয়ে যান,positive,n/a,n/a,n/a,
"অনেক সুন্দর কাজ, এগিয়ে যান",positive,n/a,n/a,n/a,
সি,neutral,n/a,n/a,n/a,
"সিন্ডিকেটের কাছে কি রাষ্ট্র হেরে যাবে, রাষ্ট্রের উপদেষ্টাদের দ্বারা সিন্ডিকেট নির্মূল করা সম্ভব নয়, আমজনতাকে মাঠে নামতে হবে, যেখানে সিন্ডিকেটধারী পাওয়া যাবে সেখানেই ওদের ধরে গাছে বেঁধে সারাদিন ওই পণ্য ওদের খাওয়াতে হবে, মুখ বুজে সহ্য করলে এদেশে ফেরাউন ব্যবসা শুরু হবে, তাই সবাইকে শক্ত প্রতিরোধ গড়তে হবে, অতি দ্রুত সিন্ডিকেট নির্মূল করুন, জরিমানা নয় কারাদণ্ডে দণ্ডিত করুন, বৈষম্য বিরোধী ছাত্র আন্দোলনের ছাত্র-জনতার দ্রুত উন্নত চিকিৎসার ব্যবস্থা করুন, ব্যক্তি পূজায় লিপ্ত না হয়ে, অন্যায়কে অন্যায় এবং ন্যায়কে ন্যায় বলার সৎ সাহস থাকতে হবে, আল্লাহ তায়ালা ছাড় দেন কিন্তু ছে�ড়ে দেন না, দেশ স্বাধীন হওয়ার আগের মন্তব্য আর এখনো একই দাবি, বাসের যাত্রীরা দশজনের বেশি দাঁড়িয়ে যেতে পারবে না, বাসের সংস্কার চাই এটাই দাবি, রাষ্ট্রের সংস্কার চাই, মৃত্যু আর আত্মহত্যা যদি জায়েজ হতো তাহলে প্রত্যেক ঘরে থেকেই লাশের গন্ধ ভেসে আসতো, ছোট্ট একটা দেশে আল্লাহর এত রহমত থাকা সত্ত্বেও সিন্ডিকেট, দুর্নীতি, বাজারের উর্ধ্বগতি, দেশে গ্যাসের খনি থাকলেও উচ্চ মূল্যে গ্যাস কেনা, দেশের টাকা দেশে নেই, আছে বিদেশি সুইস ব্যাংকে আর বেগম পাড়ায়, স্বাধীন রাষ্ট্রে আমরা এক প্রকার জিম্মি, ধিক্কার জানাই এই রাষ্ট্র ব্যবস্থাকে যেখানে শ্রমের কোনো মূল্য নেই, যেখানে সাধারণ জনগণের দুঃখ-দুর্দশা, দুর্ভোগ ছাড়া আর কিছুই নেই, ধিক্কার জানাই অসাধু, লোভী ব্যবসায়ীদের, হে আল্লাহ আপনার কাছে বিচার দিলাম, পৃথিবীর সকল ভালো মনের মানুষগুলো সর্বদা ভালো থাকুক, আর বাকি মানুষগুলোর মনে আল্লাহ তায়ালা সঠিক বুঝ দান করুন, মানুষের প্রতি মানুষের ভালোবাসা বাড়ুক, একে অপরকে মানুষ সম্মান ও শ্রদ্ধা করতে জানুক, কাউকে ছোট করতে নয়, হাডুডু বাংলাদেশের জাতীয় খেলা, তাই সৎভাবে ভালো কাজ করে এগিয়ে গেলেও পা ধরে টানাটানি করে নিচে নামিয়ে দেওয়া এদেশের মানুষের অভ্যাস, ফরমালিন যুক্ত সময়ের আগে অপরিপক্ক ফল-মূল থেকে বিরত থাকুন, ফরমালিন মুক্ত বাংলাদেশ গড়ুন, পাপ বাবকেও ছাড়বে না, কর্মের ফল ভোগ করতে হবে, ভেজাল মুক্ত দেশ গড়ি, পৃথিবীতে বেঁচে থাকা এবং মৃত্যুর মাঝে ভালো কাজ করি, কল্যাণমূলক কাজ করি, একে অপরকে সহযোগিতা করি, এর দ্বারা মনকে প্রশান্ত করি, আমাদের দেশকে আমরাই রক্ষা করব ইনশাআল্লাহ, প্রত্যেক মুসলিম উম্মাহদের প্রতি অসুস্থ অপমান লাঞ্ছনা বৃথা হতে দেব না, ইনশাআল্লাহ, দেশীয় পণ্য কিনে ধন্য হই, দেশের টাকা দেশে রেখে দেশকে সমৃদ্ধ করি, পণ্যের মান বজায় রেখে স্বাস্থ্য সুরক্ষা ও দেশের সুনাম ছড়িয়ে পড়ুক, কট্টরপন্থীদের বয়কট, বর্বর ইসরাইলের পণ্য বয়কট, ভারতীয় পণ্য বয়কট, সকল শিক্ষা প্রতিষ্ঠান থেকে ছাত্র রাজনীতি চিরতরে নিষিদ্ধ করার দাবি জানাই, সোনার টুকরো ছেলে-মেয়েরা মায়ের বুকে বেড়ে উঠুক, সন্তান হারানোর যন্ত্রণা থেকে রেহাই পাক মা-বাবা, সুশিক্ষায় শিক্ষিত হোক, দেশ ও জাতির কল্যাণ বয়ে আনুক, সাধারণ মানুষদের জিম্মি করে ফেলেছে, এখানে প্রশাসন ঘুমিয়ে আছে, ধর্ষকের বিচার চাই, ধর্ষকের মৃত্যুদণ্ড চাই, গাছ লাগান পরিবেশ বাঁচান, বেকারত্বের মতো বিভীষিকাময় দুর্ভিষহ যন্ত্রণা থেকে মুক্তি পাক প্রতিটা ঘরে, আত্মনির্ভরশীল হোক প্রিয় মাতৃভূমির মানুষগুলো",negative,n/a,slow,low,
"এই শয়তানগুলোকে পিটাতে হবে, মুখে হবে না",negative,n/a,n/a,n/a,
"বাংলাদেশের এক নম্বর কমেডি অধিদপ্তর হচ্ছে এই ভোক্তা অধিদপ্তর, মূল জায়গায় হাত না দিয়ে অলিগলির দোকানে চেকিংয়ের নামে জনগণের সাথে তামাশা শুরু করেছে, টিকটক অধিদপ্তর বললেও ভুল হবে না, পেজের ভিডিও, ধমক, জনগণের সাথে কমেডি এই হচ্ছে এদের কাজ, একমাত্র শাহরিয়ার ও সরোয়ার স্যারই এই অধিদপ্তরের বাঘ ছিলেন, এই অধিদপ্তরের সবাইকে দ্রুত অব্যাহতি দিয়ে সক্রিয় কাউকে নিয়োগ দেওয়া হোক",negative,low,slow,n/a,
"লোক দেখানো এসব করে কী লাভ, রসিদ দেখালে কি দাম কমে যায়, কাঁচা মরিচ কি আমদানি হচ্ছে, শাক সবজি কি আমদানি হচ্ছে, এখন এগুলোর দাম কে বাড়াচ্ছে, সিন্ডিকেট এখন কে করে, এসবের কোনো উত্তর নেই কারণ চোরে চোরে মাসতুতো ভাই, সাধারণ মানুষ এখন অসাধারণ হয়ে যাচ্ছে না খেয়ে খেয়ে",negative,n/a,slow,low,
"ব্রাহ্মণবাড়িয়া, আখাউড়া আসুন, এখানের সব দোকানদার বড় মাপের বাটপার",negative,n/a,n/a,low,
"আমাদের ট্যাক্সের টাকা কৃষক শেয়ারে ভর্তুকি পায়, আবার আমাদের থেকে জুলুম করে সবজির মূল্য নিয়ে গলা কাটে, তাদের কে কিছু বলা যাবে না",negative,n/a,n/a,low,
"এখন আর নিজের বিবেক বলতে কিছু নেই, আর মানুষের ভিতরে সত্য জিনিসটা নেই, টিকিট সমস্যা",negative,n/a,n/a,n/a,
"আপনারা যে নরম কথা বলেন, এই নরম কথায় চিঁড়ে ভিজবে না",negative,n/a,n/a,n/a,
"ম্যাডাম মুখে পদ্ম মধু নিয়ে কথা বলেন, না হয় ব্যবসায়ীরা কষ্ট পেতে পারে",negative,n/a,n/a,n/a,
এরকম রসের কথায় মাল জিনিসের দাম কখনো কমবে না,negative,n/a,n/a,n/a,
"যা মাত্র দিয়া কিলা হুনতো, কীতার মনিটরিং করো, জরিমানা দিলে কীতা হয়",negative,n/a,n/a,n/a,
চোর তো চুরি করতে পারবে না ম্যাম,negative,n/a,n/a,n/a,
"গ্রামে অভিযান চালান, দয়া করে",neutral,n/a,n/a,n/a,
"এইটা নিয়মিত করতে হবে, একদিন তদারকি করে হারিয়ে গেলে কিছুই হবে না",neutral,n/a,slow,n/a,
"বারাইয়ারহাট করের হাট বাজারে নিত্যপ্রয়োজনীয় দ্রব্যের সকল পণ্যের মূল্য কসাইয়ের মতো নেওয়া হয়, প্রতিবাদ করলে ভোক্তাদের সাথে মাত্রাতিরিক্ত খারাপ ব্যবহার করা হয়, আপনারা লোক দেখানো কাজ না করে সাধারণ মানুষের কাতারে এসে কাজ করুন, দেশকে সংস্কার করুন",negative,n/a,n/a,low,
দশ টাকা কেজি পেঁপে বদল হয়ে যায় চল্লিশ টাকা,negative,n/a,n/a,low,
সকল থানায় বা বাজারে এমন অভিযান চলুক,neutral,n/a,n/a,n/a,
"আজকে খবরে দেখলাম সিন্ডিকেটকারীদের বিরুদ্ধে বিশেষ ক্ষমতা আইন প্রয়োগ করা হবে, এতদিনে সরকারের ঘুম ভেঙেছে, আসলে এই দেশের ব্যবসায়ীরা অমানুষ হয়ে গেছে, এদের বিরুদ্ধে কঠোর আইনে ব্যবস্থা নেওয়া ছাড়া কোনো উপায় নেই",negative,n/a,n/a,n/a,
সবজির বিক্রয় রশিদ চালু করতে হলে আগে এই দেশটাকে ব্রিটেন বা ফ্রান্স বানাতে হবে,negative,low,n/a,n/a,
"আপু আপনি কাকে উপদেশ দিচ্ছেন, শিয়ালের কাছে মুরগি দিয়ে খাওয়ার নিয়ম বলে চলে গেলেন, ফিরে এসে মুরগির কী অবস্থা হবে",negative,low,n/a,n/a,
"শুধু ফেসবুকে নিত্যপণ্যের দাম বেড়েছে বলে চিৎকার না করে মাঠে গিয়ে আবাদ করুন, তখন বুঝবেন ঠেলা",negative,n/a,n/a,n/a,
"এসব রসের আলাপে তারা গত পনেরো বছরেও ঠিক হয়নি, ওদের এমন জরিমানা করতে হবে যেন ছয় মাসেও লাভের মুখ না দেখে",negative,n/a,n/a,n/a,
এগুলো ফেসবুকেই,negative,n/a,n/a,n/a,
"আমাদেরকে শাক সবজি না খাইয়ে বিষ দেন, আমরা খেয়ে মরে যাই",negative,n/a,n/a,low,
আমার,neutral,n/a,n/a,n/a,
ভোক্তা অধিদপ্তরের লোক কি সব জায়গায় মনিটরিং করে,neutral,n/a,n/a,n/a,
"সব সিন্ডিকেট ভেঙে দিতে হবে এবং জেলে পাঠাতে হবে, জরিমানার নাটক আর দেখতে ভালো লাগে না",negative,n/a,n/a,n/a,
"ভোক্তা অধিকার আইন দিয়েই বাজার নিয়ন্ত্রণ সম্ভব, দরকার আরো লোকবল এবং কেনাকাটার নথি প্রদান বিষয়ে সরকারি একটি নির্দেশ, বাজার তখন জনগণই ঠিক করে ফেলবে",neutral,n/a,n/a,n/a,
"কেন করেন না, আর কত বলবেন, আইনের সঠিক প্রয়োগ করুন, না হলে জনগণের রক্ত আর থাকবে না",negative,n/a,n/a,n/a,
"কোনো সরকার এই দেশের কিছু মানুষকে ঠিক করতে পারবে না, ওরা দুর্নীতি করবেই, ওরা নিজের স্বার্থের জন্য যেকোনো কিছু করতে পারবে, কী একটা অবস্থা, যার যেটা ইচ্ছা সেটাই করছে",negative,n/a,n/a,n/a,
ম্যাডাম এত কিছু সময় নেই,negative,n/a,slow,n/a,
ক্রয়মূল্য যে সঠিকটা লিখছে সেটা বুঝার উপায় কী,neutral,n/a,n/a,low,
"সবজির উৎপাদন খরচ কেমন জানেন, সকল কিছুর ওপর নজর দেন, হুজুগে মাতাল এই সব নাটক থেকে বের হন",negative,n/a,n/a,n/a,
বাঙালি কখনো ভালো ব্যবহারে সোজা হয় না,negative,n/a,n/a,n/a,
"ব্যবসায়ীদের গ্রেপ্তার না করা পর্যন্ত এরা সোজা হবে না, সর্বনিম্ন দশ বছরের জেল দিতে হবে",negative,n/a,n/a,n/a,
এভাবে কি দাম কমানো সম্ভব,negative,n/a,n/a,n/a,
"আপনারা এই দেশের আবর্জনা ছাড়া আর কিছুই নন, কোনো কাজের না",negative,n/a,n/a,n/a,
"সিন্ডিকেটকারীরা কি জনগণ ও আপনাদের থেকেও শক্তিশালী, এদের পরিচয় প্রকাশ করুন, এদের চিহ্নিত করে এদের বাড়িঘর দোকানপাট পুড়িয়ে দিন, এদের নিঃস্ব, ফতুর ও নেংড়া করে দিন, যাতে আমাদের মতো সাধারণ মানুষের কষ্ট বুঝে",negative,n/a,n/a,n/a,
"যতদিন পর্যন্ত জনগণের সামনে কঠোর লাঞ্ছিত শাস্তির ব্যবস্থা করবেন না, ততদিন পর্যন্ত সিন্ডিকেট সামলানো সম্ভব না",negative,n/a,n/a,n/a,
"এদিকে চাঁদা, ওদিকে চাঁদা, তার ওপরে ভোক্তা অধিকারের জরিমানা, সব মিলিয়ে দ্রব্যমূল্যের দাম বেড়েই যাচ্ছে, কঠোর থেকে আরো কঠোরতা অবলম্বন করতে হবে, এই সব পাঁচ-দশ হাজার টাকা জরিমানা করে দ্রব্যমূল্যের দাম কমবে না",negative,n/a,n/a,n/a,
স্থানীয়দের সংশ্লিষ্টতায় নাগরিক কমিটি করুন,neutral,n/a,n/a,n/a,
ইলিশ,neutral,n/a,n/a,n/a,
,neutral,n/a,n/a,n/a,
,neutral,n/a,n/a,n/a,
,neutral,n/a,n/a,n/a,
,neutral,n/a,n/a,n/a,
,neutral,n/a,n/a,n/a,
"তোমাদের নাটক দেখতে আর ভালো লাগে না, বাজে",negative,n/a,n/a,n/a,
"আপু, যে মিষ্টি করে বলছেন, এতো জামাই আদর, সবজি কি আমেরিকা, রাশিয়া, কাতার, ভারত থেকে আসে, মানুষের উপরি কামাই নেই, কঠিন পদক্ষেপ নিতে হবে এখনই",negative,n/a,n/a,n/a,
"আপনাদের এই নাটক আর কতদিন, আজকে মরিচের দাম ছয়শ টাকা, চোরগুলো ধরেন",negative,n/a,n/a,low,
,positive,n/a,n/a,n/a,
খিলগাঁও মাদারটেক বাজারে আজকেও ডিম একশ আশি টাকা ডজন,negative,n/a,n/a,low,
এটা কি আপনাদের পেজ,neutral,n/a,n/a,n/a,
"জাতীয় ভোক্তা-অধিকার সংরক্ষণ অধিদপ্তর, সরকার নির্ধারিত দাম বেশি রাখলে ভোক্তা অধিকার থেকে লোক এসে জরিমানা করবে আর জরিমানার বিশ শতাংশ ভোক্তাকে দেওয়া হবে, এই আইন এখনো কার্যকর আছে কি না",neutral,n/a,n/a,n/a,
"ভোক্তা হিসেবে এবার শুধুমাত্র ডিম খাওয়া দরকার, অন্য জিনিসপত্র খাওয়া বা ব্যবহার করা দরকার নেই, শুধু ডিমের ছবি ভাইরাল হলো",negative,n/a,n/a,n/a,
দুই লাখ পিস ডিম প্রতি সপ্তাহে প্রতি ওয়ার্ডে দেওয়া দরকার,neutral,n/a,n/a,n/a,
"অভিনন্দন বাংলাদেশ, তবে যে যাই বলুন না কেন, ডিমের মূল্য বৃদ্ধি করাই হলো সকলের মূল লক্ষ্য এবং তা বাস্তবায়ন হয়ে গেল, আমি/আমরা নিজ নিজ অবস্থান থেকে বৈষম্যমূলক আচরণ ও প্রতিহিংসাপরায়ণতা থেকে মুক্ত হয়ে পরস্পর সম্মান ও সহনশীলতার মানসিকতা এবং সচেতন হলে অনেক কিছু করা সম্ভব",negative,n/a,n/a,low,
ডিমে তারিখ দেখতে চাই,neutral,n/a,n/a,n/a,
"নন্দীপাড়ায় দুটি পাইকারি ডিমের দোকান আছে, আজ উনারা এক ডজন ডিমের দাম নিচ্ছে একশ ষাট টাকা",negative,n/a,n/a,low,
"এগুলো সব নাটক মনে করি আমি, কারণ আমি নিজে তেজগাঁও বাজারে গতকাল গিয়েছি পাইকারি দামে ডিম কেনার জন্য যে আমার এলাকায় ন্যায্য দামে ডিম দেবো, কিন্তু কেউ দেয়নি, সবাই বলে ডিম নেই",negative,n/a,n/a,low,
মগবাজার চারুলতা মার্কেটে এখনো আগের মতোই বেশি দাম,negative,n/a,n/a,low,
"অনলাইন শপ চালডাল ডটকম থেকে ডিমের দামের সাথে প্রতারণা করে বাড়তি চব্বিশ টাকা চার্জ নেওয়া হচ্ছে, এটা আপনাদের নজরে আনেন",negative,n/a,n/a,low,
"গেন্ডারিয়া বাজারে একশ সত্তর টাকা ডজন আজকেও কিনতে হলো, আপনাদের কথা ও কাজের সুফল সব জায়গায় দেখতে চাই",negative,n/a,slow,low,
"এতে উৎপাদকরাও ভালো টাকা পাবে, জনগণেরও মুক্তি মিলবে সিন্ডিকেট থেকে, অসাধু ব্যবসায়ীদের এইভাবে সর্বশান্ত করতে হবে",neutral,n/a,n/a,n/a,
"এইমাত্র ডিমের দাম কমে গেলো, ডিম মানুষের হাতের নাগালে চলে এলো, লাইট-ক্যামেরা-অ্যাকশন বলতে বলতে",positive,n/a,fast,n/a,
"ঢাকার দক্ষিণ কেরানীগঞ্জের বসুন্ধারা রিভারভিউ প্রজেক্ট রোড হাসনাবাদ বাজারে আসার অনুরোধ রইলো, আমি আজকে এই বাজার থেকে ডিম কিনেছি একশ ষাট টাকা ডজন, সরকার নির্ধারিত মূল্য একশ পঁয়তাল্লিশ টাকায় কেউ ডিম বিক্রি করছে না",negative,n/a,n/a,low,
এসব কাজ হবে না,negative,n/a,n/a,n/a,
"জরিমানা করলে হবে না, সঙ্গে জেল দিতে হবে, অন্যথায় এই চক্রকে রোধ করা কঠিন হবে, আপনাদের প্রচেষ্টা ব্যর্থ হবে",negative,n/a,n/a,n/a,
,neutral,n/a,n/a,n/a,
"আলহামদুলিল্লাহ, সাধারণ মানুষের অনেক উপকার হলো উক্ত উদ্যোগের ফলে",positive,n/a,fast,n/a,
এই দিকে চালের বাজার গরম,negative,n/a,n/a,low,
"পটুয়াখালী শহরে কোনো দোকানে সরকারের বেঁধে দেওয়া দামে ডিম বিক্রি হচ্ছে না, পঁচান্ন থেকে ষাট টাকা হালি ডিম বিক্রি হচ্ছে, পটুয়াখালী শহরে কি কোনো অভিযান হয় না",negative,n/a,n/a,low,
ফাউলগিরি বাদ দেন,negative,n/a,n/a,n/a,
টাংগাইলে আপডেট চাই,neutral,n/a,n/a,n/a,
ভালোবাসা আমার তরফ থেকে,positive,n/a,n/a,n/a,
চট্টগ্রামে মনিটরিং করুন,neutral,n/a,n/a,n/a,
বরগুনায় একটু দেখেন,neutral,n/a,n/a,n/a,
,neutral,n/a,n/a,n/a,
"ভোক্তা অধিদপ্তরের কর্মকর্তাদের প্রতি শ্রদ্ধা এবং ভালোবাসা রেখে বলছি যে বর্তমানে চট্টগ্রাম এলাকায় এখনো বহু পাইকাররা ডিম ডজন একশ ষাট টাকা করে বিক্রি করে, আমরা ভোক্তারা কি তাদের বিরুদ্ধে কোনো অভিযোগ করতে পারব কি না, সে বিষয়ে যদি স্পষ্ট কোনো বক্তব্য থাকে আপনাদের, তাহলে দয়া করে একটু ভিডিওর মধ্যে জানাবেন, অনেক পাইকার এবং দোকানদারদেরকে সরকারি নির্ধারিত দামের কথা বললে তারা রাগান্বিত হয় এবং মারধর করতে আসে এবং অশোভন ভাষায় গালিগালাজ করে, আর তাদের এক কথায় বলে যে আমরা বেশি দামে কিনি বেশি দামে বিক্রি করি, তাদের এই অনাকাঙ্ক্ষিত ব্যবহারের কারণে আমরা ভোক্তারা কিছু বলার সাহস পাই না",negative,low,n/a,low,
উৎপাদন কীভাবে কমানো যায় সেই উদ্যোগ নিন,neutral,n/a,n/a,n/a,
"এরকম অভিযান করে কোনো লাভ হয় না, কঠিন শাস্তি না হলে কেয়ামত পর্যন্ত এভাবেই চলতে থাকবে",negative,n/a,n/a,n/a,
"এসব লোক দেখানো কাজ কোনো ভালো ফল বয়ে আনবে না, জরিমানা করে লাভ নেই, এরা পরে সুদে আসলে লাভ তুলে নেয়",negative,n/a,n/a,n/a,
"সরাসরি জেল, কথায় এদের মন গলবে না",negative,n/a,n/a,n/a,
"অভিযানে সীমাবদ্ধ, বাজারে এর কোনো প্রভাবই নেই, সব সময়ের সবচেয়ে সস্তা তরকারি পেঁপে কিনলাম আশি টাকা কেজি",negative,n/a,slow,low,
"নিত্যপ্রয়োজনীয় দ্রব্যমূল্য বৃদ্ধি নিয়ন্ত্রণ করতে সরকার নিজেই কৃষক বাজার নামে নতুন পদক্ষেপ গ্রহণ করতে পারে, যেখানে সপ্তাহে দুইদিন যেকোনো একটি বড় মাঠে প্রান্তিক কৃষকরা সরাসরি ভোক্তার নিকট নিত্যদ্রব্য বিক্রি করবে, তাহলে ন্যায্য দামে নিত্যদ্রব্য বিক্রি হবে এবং সিন্ডিকেটও ভাঙবে",neutral,n/a,n/a,n/a,
"অভিযান শুধু ঢাকায় কেন, জেলার কর্মকর্তারা কি ঘুমায়",negative,low,n/a,n/a,
"এত এত অভিযান চলছে তারপরও কোনো জিনিসের দাম কমে না, আমি অসন্তুষ্ট ভোক্তা অধিকার অধিদপ্তরের অভিযানে, এই অভিযানগুলো কি সাধারণ জনগণকে দেখানোর জন্য",negative,n/a,slow,n/a,
"দুইশ ষাট টাকা আপনাদের দেখে বলছে ওনারা, বাস্তবে জনগণ থেকে দাম রাখছে চারশ টাকা করে",negative,n/a,n/a,low,
"ভোক্তাদের উপকারের জন্য ভোক্তা অধিদপ্তর, বাজারে এদের কোনো প্রভাবই নেই, লোক দেখানো ভিডিও করে, যদিও প্রথম দিকে ভিডিওগুলো ভালো লাগতো, এখন বিরক্ত লাগে",negative,low,slow,n/a,
স্বপ্নে আজ মরিচের দাম,negative,n/a,n/a,low,
